addr	size	name	confidence	args	ret	callers	callees	frame	saved	tags
0x80010D58	1536	func_80010D58	medium	0	u32	1	47	80	s0|s1|s2|s3|s4|s5|s6|s7|ra	
0x80011358	692	func_80011358	verified	1	u32	1	13	64	s0|s1|s2|s3|s4|s5|ra	
0x80011638	160	func_80011638	verified	1	u32	1	6	32	s0|s1|s2|ra	
0x80011710	460	func_80011710	verified	0	u32	1	7	24	s0|ra	
0x800118DC	228	func_800118DC	verified	0	u32	1	6	24	s0|ra	
0x800119C0	564	func_800119C0	verified	2	u32	1	5	40	s0|s1|s2|s3|s4|ra	
0x800120A0	544	func_800120A0	high	4	u32	3	4	0	s0|s1|s2|ra	
0x800122C0	2184	func_800122C0	verified	0	u32	4	11	32	s0|s1|s2|ra	
0x80013744	700	func_80013744	medium	1	u32	0	8	32	s0|s1|s2|ra	orphan|indirect
0x80013A00	884	func_80013A00	medium	3	u32	1	4	40	s0|s1|s2|s3|s4|ra	orphan
0x80013F2C	56	func_80013F2C	verified	0	void	3	2	24	ra	
0x80013F64	108	func_80013F64	verified	0	u32	1	3	24	s0|ra	
0x80013FD0	68	func_80013FD0	verified	2	void	1	1	32	ra	
0x80014014	192	func_80014014	verified	0	u32	1	7	24	s0|ra	
0x80014140	172	func_80014140	verified	2	u32	1	5	32	s0|s1|ra	
0x800141EC	44	func_800141EC	verified	2	void	1	1	24	ra	
0x80014448	1088	func_80014448	high	4	u32	1	0	0		leaf
0x80014AD0	12	func_80014AD0	high	1	void	1	0	0		leaf
0x80014ADC	376	func_80014ADC	verified	1	u32	1	6	32	s0|s1|s2|ra	
0x80014C54	2592	func_80014C54	verified	2	u32	1	7	40	s0|s1|s2|s3|s4|ra	
0x80015674	148	func_80015674	verified	0	u32	2	3	40	s0|s1|ra	
0x80015708	36	func_80015708	high	1	void	5	0	0		leaf
0x80015770	64	func_80015770	verified	0	void	1	2	24	s0|ra	
0x800157B0	44	func_800157B0	high	1	u32	1	0	0		leaf
0x800157DC	260	func_800157DC	verified	0	u32	2	4	48	s0|s1|s2|s3|s4|s5|s6|ra	
0x800158E0	28	func_800158E0	high	0	u32	2	0	0		leaf
0x800159F8	172	func_800159F8	low	1	u32	0	0	0		leaf|orphan
0x80015AA4	180	func_80015AA4	high	1	u32	1	0	0		leaf
0x80015B58	192	func_80015B58	verified	2	u32	1	1	32	s0|s1|ra	
0x80015C18	16	func_80015C18	high	0	u32	1	0	0		leaf
0x80015C28	16	func_80015C28	high	0	u32	2	0	0		leaf
0x80015C38	16	func_80015C38	high	0	u32	1	0	0		leaf
0x80015C48	16	func_80015C48	high	0	u32	1	0	0		leaf
0x80015C58	276	func_80015C58	verified	0	u32	1	8	56	s0|s1|s2|s3|s4|s5|ra	
0x80015D6C	540	func_80015D6C	verified	1	u32	1	19	64	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	
0x80015F88	320	func_80015F88	verified	1	u32	1	8	48	s0|s1|s2|ra	
0x800165CC	252	func_800165CC	low	3	u32	0	0	0		leaf|orphan
0x8001676C	12	bios_A0_70__bu_init	verified	0	void	1	0	0		bios|leaf
0x80016784	12	bios_A0_72_CdRemove	verified	0	void	1	0	0		bios|leaf
0x8001679C	12	bios_A0_9F_SetMemSize	verified	0	void	1	0	0		bios|leaf
0x800167AC	12	bios_B0_08_OpenEvent	verified	0	void	2	0	0		bios|leaf
0x800167BC	12	bios_B0_09_CloseEvent	verified	0	void	2	0	0		bios|leaf|orphan
0x800167DC	12	bios_B0_0C_EnableEvent	verified	0	void	3	0	0		bios|leaf
0x800167EC	16	func_800167EC	high	0	void	15	0	0		leaf|syscall
0x800167FC	16	func_800167FC	high	0	void	12	0	0		leaf|syscall
0x8001682C	12	bios_B0_35_FileWrite	verified	0	void	2	0	0		bios|leaf
0x8001688C	12	bios_B0_5B_ChangeClearPad	verified	0	void	4	0	0		bios|leaf
0x8001689C	544	func_8001689C	verified	3	u32	1	7	48	s0|s1|s2|s3|s4|s5|s6|ra	
0x80016ABC	20	func_80016ABC	low	0	void	1	0	0		leaf|indirect
0x80016AD8	20	func_80016AD8	low	0	void	1	0	0		leaf|indirect
0x80016AF4	20	func_80016AF4	low	0	void	1	0	0		leaf|indirect
0x80016B10	20	func_80016B10	low	0	void	1	0	0		leaf|indirect
0x80016B2C	20	func_80016B2C	low	0	void	1	0	0		leaf|indirect
0x80016B48	52	func_80016B48	verified	0	u32	1	1	24	ra	
0x80016B7C	20	func_80016B7C	low	0	void	1	0	0		leaf|indirect
0x80016B98	44	func_80016B98	high	3	u32	1	0	0		leaf
0x80016E6C	12	bios_B0_42_firstfile	verified	0	void	0	0	0		bios|leaf|orphan
0x80016E7C	52	func_80016E7C	high	3	u32	1	0	0		leaf
0x80016EBC	48	func_80016EBC	high	2	u32	1	0	0		leaf
0x80016EEC	52	func_80016EEC	high	3	u32	2	0	0		leaf
0x80016F8C	12	func_80016F8C	high	1	void	1	0	0		leaf
0x8001704C	100	func_8001704C	low	3	u32	0	0	0		leaf|orphan
0x8001710C	52	func_8001710C	high	1	u32	1	0	0		leaf
0x8001714C	128	func_8001714C	high	3	u32	1	0	0		leaf
0x8001725C	12	bios_A0_AC	verified	0	void	0	0	0		bios|leaf|orphan
0x8001726C	12	bios_B0_4E__card_write	verified	0	void	0	0	0		bios|leaf|orphan
0x8001727C	12	bios_B0_4F__card_read	verified	0	void	0	0	0		bios|leaf|orphan
0x8001728C	12	bios_B0_50__new_card	verified	0	void	0	0	0		bios|leaf|orphan
0x800172EC	144	func_800172EC	verified	1	u32	1	10	32	s0|s1|ra	
0x8001737C	72	func_8001737C	verified	0	u32	1	4	24	s0|ra	
0x800173F8	16	func_800173F8	high	0	u32	1	0	0		leaf
0x80017590	120	func_80017590	medium	0	u32	0	4	24	s0|ra	orphan
0x80017608	56	func_80017608	medium	0	u32	0	3	24	ra	orphan
0x800176EC	12	bios_B0_12_InitPad	verified	0	void	0	0	0		bios|leaf|orphan
0x800176FC	12	bios_B0_13_StartPad	verified	0	void	0	0	0		bios|leaf|orphan
0x8001770C	12	bios_B0_14_StopPad	verified	0	void	0	0	0		bios|leaf|orphan
0x8001771C	12	bios_B0_15_OutdatedPadInitAndStart	verified	0	void	0	0	0		bios|leaf|orphan
0x8001772C	12	bios_C0_02_SysEnqIntRP	verified	0	void	2	0	0		bios|leaf
0x8001773C	12	bios_C0_03_SysDeqIntRP	verified	0	void	6	0	0		bios|leaf
0x8001774C	20	func_8001774C	low	0	void	0	0	0		leaf|orphan|indirect
0x80017760	20	func_80017760	low	0	void	0	0	0		leaf|orphan|indirect
0x80017774	112	func_80017774	low	0	u32	0	2	0		orphan|indirect
0x800177EC	12	bios_A0_44_FlushCache	verified	0	void	9	0	0		bios|leaf
0x800177FC	104	func_800177FC	low	0	u32	0	3	0		orphan|indirect
0x8001786C	12	bios_B0_4A_InitCard	verified	0	void	1	0	0		bios|leaf
0x8001787C	12	bios_B0_4B_StartCard	verified	0	void	1	0	0		bios|leaf
0x8001788C	12	bios_B0_4C_StopCard	verified	0	void	0	0	0		bios|leaf|orphan
0x8001789C	68	func_8001789C	high	0	u32	1	1	0		indirect
0x80017978	148	func_80017978	high	0	u32	2	2	0		addr_taken|indirect
0x80017A0C	112	func_80017A0C	high	0	u32	1	3	0		indirect
0x80017A7C	52	func_80017A7C	high	0	u32	1	0	0		leaf
0x80017ABC	112	func_80017ABC	low	0	u32	0	3	0		orphan|indirect
0x80017EFC	12	bios_B0_5C_get_card_status	verified	0	void	0	0	0		bios|leaf|orphan
0x800181A8	36	func_800181A8	verified	1	void	1	1	24	ra	
0x800181CC	240	func_800181CC	medium	1	u32	0	2	24	ra	orphan
0x800182BC	144	func_800182BC	medium	2	u32	1	1	32	s0|s1|ra	orphan
0x8001834C	140	func_8001834C	medium	2	u32	0	1	32	s0|s1|ra	orphan
0x800183D8	148	func_800183D8	medium	0	u32	1	1	32	ra	orphan
0x8001846C	148	func_8001846C	medium	0	u32	1	1	32	ra	orphan
0x80018500	24	func_80018500	low	0	u32	0	0	0		leaf|orphan
0x80018518	124	func_80018518	medium	1	u32	2	1	24	ra	orphan
0x8001859C	60	func_8001859C	verified	4	u32	25	1	24	ra	
0x800185DC	1684	func_800185DC	verified	3	u32	1	4	120	s0|s1|s2|s3|s4|s5|s6|s7|fp|ra	break
0x80018CEC	80	func_80018CEC	high	3	u32	1	0	0		leaf
0x80018D3C	252	func_80018D3C	verified	1	u32	3	2	24	s0|ra	
0x80018E38	60	func_80018E38	high	0	void	2	1	0	ra	
0x8001940C	372	func_8001940C	verified	1	u32	1	5	32	s0|s1|ra	indirect
0x80019580	92	func_80019580	verified	1	u32	1	1	24	s0|ra	
0x80019690	96	func_80019690	verified	1	u32	1	1	32	s0|s1|ra	
0x800196F0	152	func_800196F0	verified	1	u32	3	2	32	s0|s1|ra	indirect
0x80019788	104	func_80019788	high	1	u32	3	1	0	s0|ra	indirect
0x800197F0	284	func_800197F0	verified	2	u32	2	1	32	s0|ra	
0x8001990C	144	func_8001990C	verified	4	u32	3	1	40	s0|s1|s2|s3|ra	indirect
0x80019AF4	184	func_80019AF4	verified	3	u32	1	1	32	s0|s1|s2|ra	indirect
0x80019C74	172	func_80019C74	high	2	u32	2	1	0	s0|s1|ra	indirect
0x80019D7C	112	func_80019D7C	high	1	u32	2	1	0	s0|ra	indirect
0x80019DEC	192	func_80019DEC	verified	1	u32	2	3	32	s0|s1|s2|ra	indirect
0x80019FB8	1272	func_80019FB8	verified	1	u32	2	3	32	s0|s1|s2|ra	indirect
0x8001A7CC	624	func_8001A7CC	verified	2	u32	1	5	40	s0|s1|ra	
0x8001AA3C	32	func_8001AA3C	high	3	u32	1	0	0		leaf
0x8001AA5C	152	func_8001AA5C	high	2	u32	1	0	0		leaf
0x8001AAF4	152	func_8001AAF4	high	2	u32	1	0	0		leaf
0x8001AB8C	28	func_8001AB8C	high	2	u32	1	0	0		leaf
0x8001ABA8	128	func_8001ABA8	high	1	u32	1	0	0		leaf
0x8001B484	72	func_8001B484	low	1	u32	0	0	0		leaf|orphan
0x8001B4CC	48	func_8001B4CC	high	1	u32	0	0	0		leaf|addr_taken
0x8001B520	688	func_8001B520	medium	4	u32	0	5	40	s0|s1|s2|s3|ra	orphan|indirect
